VIN_ID,CAMPAIGN_ID,CAMPAIGN_TYPE_NO,CAMPAIGN_NAME,RESTRICTED_CAMPAIGN
UPDATECAMPAIGN001,RX8,7,BRAKE MASTER VACUUM LEAKAGE,T
UPDATECAMPAIGN101,RX8,7,BRAKE MASTER VACUUM LEAKAGE,F
UPDATECAMPAIGN103,RX8,7,SRS HEALTHY PARTS CALL-IN     ,F
CAMPAIGNTEST00010,RX8,7,MISAPPLIED TAILGATE EMBLEM    ,F
CAMPAIGNTEST00011,RX8,7,INSUFFICIENT PISTON HARDNESS  ,F
UPDATECAMPAIGN010,RX8,6,VCM2 MISFIRE - FOULED PLUGS   ,F
CAMPAIGNDOBJ00022,RX8,2,VSA SOFTWARE ERROR            ,F
JHLRD1869WC081262,RX8,3,OWNER'S MANUAL PAGE UPDATE    ,F
CAMPAIGNDOBJ00037,RT8,7,2009-11 PILOT SUNROOF MOTOR   ,F
CAMPAIGNDOBJ00067,RT8,1,07-10 ODYSSEY LC JUDDER       ,T
CAMPAIGNDOBJ00023,RA8,4,CIVIC ENGINE BLOCK CRACKED W/E,F
REGRESSIONTEST662,RA8,6,SRS UNIT MALFUNCTION          ,F
UPDATECAMPAIGN001,RA8,6,SRS UNIT MALFUNCTION          ,F
UPDATECAMPAIGN002,RB8,3,VCM2 MISFIRE - FOULED PLUGS   ,F
UPDATECAMPAIGN111,RE8,5,SRS HEALTHY PARTS CALL-IN     ,F
UPDATECAMPAIGN005,RF8,6,FUEL PUMP MODULE COLLECTION,F
UPDATECAMPAIGN007,JD8,1,BODY PANEL CLEAR COAT CRACKS  ,F
REGTESTCCPIN00002,Q37,5,BODY PANEL CLEAR COAT SPOTS   ,F
CAMPAIGNREGT00001,SZ2,1,PWR WINDOW SWITCH REPLACEMENT ,T
CAMPAIGNREGT00002,SZ2,3,A/T COUNTERSHAFT FLANGE NUT   ,F
CAMPAIGNREGT00005,SZ2,3,FUEL TANK LEAK                ,F
UPDATECAMPAIGN005,R47,2,PREMATURE REAR TIRE WEAR      ,F
UPDATECAMPAIGN008,R47,6,BRAKE MASTER VACUUM LEAKAGE   ,F
REGRESSIONTEST081,RE8,2,FUEL PUMP MODULE COLLECTION   ,F
REGRESSIONTEST881,Rb8,3,BRAKE MASTER VACUUM LEAKAGE,F
